text,predicted_label,confidence,needs_review
"The match began with high intensity at the Santiago Bernabéu on April 21, 2024, as Barcelona struck first in the sixth minute when Andreas Christensen capitalized on a corner from Raphinha to head home.",neutral,0.499,True
"Real Madrid responded quickly, drawing level in the 18th minute after Vinícius Júnior converted a penalty following a foul on Lucas Vázquez.",neutral,0.614,False
"The game was marked by high tension, particularly in the 28th minute when Lamine Yamal’s strike was cleared off the line by Andriy Lunin, a decision that sparked significant debate regarding the lack of goal-line technology.",neutral,0.491,True
"Barcelona reclaimed the lead in the 69th minute via Fermín López,  but their advantage was short-lived as Lucas Vázquez equalized just four minutes later.",neutral,0.695,False
"The dramatic conclusion arrived in stoppage time when Jude Bellingham hammered home a cross from Vázquez, securing a 3-2  victory and effectively deciding the La Liga title race in Madrid's favor.",neutral,0.505,True
"The second El Clásico of the year took place on October 26, 2024, and proved to be a one-sided affair in the second half.",neutral,0.402,True
"Real Madrid struggled to break the defensive line, with Kylian Mbappé finding himself flagged for  offside on two separate occasions in the first half.",neutral,0.569,True
"The momentum shifted entirely after the break when Robert Lewandowski struck twice in three minutes to stun the home crowd, first with a clinical finish from Marc Casado's through ball and then with a soaring header from an Alejandro Balde cross.",hyped,0.5,True
"Despite missing an opportunity for a hat-trick when he hit the post, Lewandowski’s impact opened the floodgates.",neutral,0.465,True
"Lamine Yamal added a third in the 77th minute with a powerful strike into the top corner, and Raphinha finalized the rout in the 84th minute by lofting the ball over the goalkeeper to seal a dominant 4-0 win for Barcelona.",hyped,0.467,True
The referee signals for the start of the match.,neutral,0.468,True
The atmosphere is electric as the players take the pitch.,neutral,0.531,True
"That was a reckless challenge by the defender, absolutely no regard for the opponent.",neutral,0.533,True
"Modric controls the midfield with ease, dictating the tempo of the game perfectly.",neutral,0.47,True
Mbappe strikes it with venom into the bottom corner—stunning accuracy!,hyped,0.445,True
"The referee has completely lost control of this game, a series of questionable decisions against the home side.",neutral,0.459,True
"Lamine Yamal attempts a speculative shot from distance, but it sails high over the bar.",neutral,0.465,True
Absolute madness at the Bernabéu!,neutral,0.497,True
The crowd is roaring as they sense a late winner.,neutral,0.497,True
"It’s a tactical masterclass from the Barcelona manager, completely stifling the opposition's attack.",neutral,0.543,True
"The match ends in a frustrating stalemate, with neither side able to break the deadlock.",neutral,0.484,True
"The atmosphere at the Santiago Bernabéu is electric, the kind of tension that vibrates through the concrete.",neutral,0.492,True
"Both teams emerge from the tunnel, the iconic anthem playing, fans waving flags across every stand.",neutral,0.497,True
"The referee checks his watch, blows the whistle, and we are off.",neutral,0.54,True
"Barcelona immediately looking to dictate tempo, moving the ball with crisp, short passes in their own half.",neutral,0.495,True
"Real Madrid sitting deep, keeping their defensive structure compact.",neutral,0.62,False
"Vinícius Júnior makes his first run down the left, skipping past Koundé with effortless grace.",hyped,0.428,True
"He cuts inside, looking for Bellingham, but Pedri intercepts at the last second.",neutral,0.44,True
A massive collective sigh from the home crowd.,hyped,0.452,True
